Rk,Player,Age,Team,Lg,WAR,AB,R,H,2B,3B,HR,RBI,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Pos,Player-additional
476,Ronny Simón#,25,PIT,NL,-0.5,30,4,7,1,0,0,2,8,0.233,0.25,0.267,0.517,45,0.231,32,8,/97DH,simonro01
477,Griffin Conine*,27,MIA,NL,0.1,79,13,20,7,0,2,8,25,0.253,0.314,0.418,0.732,101,0.325,107,33,7/9DH,coningr01
478,Tristan Gray*,29,TBR,AL,0.3,78,9,18,5,0,3,9,19,0.231,0.282,0.41,0.693,91,0.296,86,32,4/635H,graytr01
479,Brett Harris,27,ATH,AL,0.7,73,11,20,5,0,0,5,21,0.274,0.349,0.342,0.692,94,0.318,99,25,5/3H,harribr02
480,Bryce Johnson#,29,SDP,NL,0.6,76,9,26,4,0,1,8,19,0.342,0.383,0.434,0.817,127,0.375,135,33,78H9,johnsbr03
481,Cavan Biggio*,30,KCR,AL,-0.2,69,9,12,2,0,1,4,21,0.174,0.296,0.246,0.543,55,0.259,56,17,HD/93745,biggica01
482,Jorge Mateo,30,BAL,AL,-0.6,79,9,14,4,0,1,3,30,0.177,0.217,0.266,0.483,36,0.243,28,21,H68/4D517,mateojo01
483,Bob Seymour*,26,TBR,AL,-0.1,78,9,16,1,1,1,5,32,0.205,0.253,0.282,0.535,50,0.25,51,22,3/DH,seymobo01
484,Jesse Winker*,31,NYM,NL,0,70,8,16,5,2,1,10,21,0.229,0.309,0.4,0.709,100,0.305,92,28,D/H7,winkeje01
485,Connor Joe,32,2TM,NL,-0.7,70,2,13,4,0,0,4,20,0.186,0.263,0.243,0.505,39,0.226,32,17,9H7/3D8,joeco01
485,Connor Joe,32,SDP,NL,-0.2,9,0,0,0,0,0,0,6,0,0.1,0,0.1,-69,0.07,-78,0,/H378D,joeco01
485,Connor Joe,32,CIN,NL,-0.5,61,2,13,4,0,0,4,14,0.213,0.286,0.279,0.564,54,0.249,48,17,97H/3D8,joeco01
486,Jacob Melton*,24,HOU,AL,-0.3,70,7,11,0,1,0,7,29,0.157,0.234,0.186,0.419,19,0.205,11,13,8/7H9,meltoja01
487,Garrett Mitchell*,26,MIL,NL,0,68,9,14,4,1,0,3,25,0.206,0.286,0.294,0.58,63,0.269,58,20,8/H,mitchga01
488,Hayden Senger,28,NYM,NL,-0.2,72,8,13,1,0,0,4,22,0.181,0.221,0.194,0.415,20,0.19,11,14,2/H,sengeha01
489,Jhonny Pereda,29,2TM,AL,0.3,69,4,17,6,0,0,4,21,0.246,0.325,0.333,0.658,84,0.301,88,23,2/1H,peredjh01
489,Jhonny Pereda,29,ATH,AL,-0.1,40,3,7,2,0,0,3,13,0.175,0.283,0.225,0.508,45,0.257,56,9,2/1H,peredjh01
489,Jhonny Pereda,29,MIN,AL,0.4,29,1,10,4,0,0,1,8,0.345,0.387,0.483,0.87,139,0.367,135,14,2,peredjh01
490,Jorge Barrosa#,24,ARI,NL,-0.6,71,8,10,3,0,1,7,22,0.141,0.169,0.225,0.394,8,0.17,-7,16,87/H9D,barrojo01
491,Eric Haase,32,MIL,NL,0.2,70,11,16,3,0,2,9,31,0.229,0.289,0.357,0.647,80,0.285,76,25,2/DH,haaseer01
492,Johnathan Rodríguez,25,CLE,AL,-0.5,71,6,14,4,1,2,10,22,0.197,0.26,0.366,0.626,72,0.286,75,26,9/H7D,rodrijo10
493,Seth Brown*,32,ATH,AL,-0.7,65,6,12,2,0,1,3,23,0.185,0.303,0.262,0.564,60,0.265,60,17,H7/89D,brownse01
494,Blake Dunn,26,CIN,NL,-0.1,60,10,9,2,0,1,7,25,0.15,0.32,0.233,0.553,54,0.27,60,14,97/8HD,dunnbl01
495,Will Robertson*,27,2TM,AL,-1.1,70,2,9,1,0,0,9,27,0.129,0.173,0.143,0.316,-10,0.149,-22,10,7/9H8D,roberwi02
495,Will Robertson*,27,TOR,AL,-0.2,10,0,1,0,0,0,1,7,0.1,0.25,0.1,0.35,3,0.191,6,1,/789,roberwi02
495,Will Robertson*,27,CHW,AL,-0.8,60,2,8,1,0,0,8,20,0.133,0.159,0.15,0.309,-12,0.141,-27,9,7/9HD,roberwi02
496,Jordan Lawlar,22,ARI,NL,-0.4,66,9,12,7,0,0,5,26,0.182,0.257,0.288,0.545,51,0.251,45,19,5H/D46,lawlajo01
497,Blaine Crim,28,2TM,2LG,0,65,10,13,2,0,5,12,28,0.2,0.27,0.462,0.732,94,0.308,86,30,3/DH,crimbl01
497,Blaine Crim,28,TEX,AL,-0.2,11,1,0,0,0,0,0,6,0,0.154,0,0.154,-48,0.108,-38,0,/3DH,crimbl01
497,Blaine Crim,28,COL,NL,0.3,54,9,13,2,0,5,12,22,0.241,0.295,0.556,0.851,120,0.351,112,30,3/D,crimbl01
498,Jacob Amaya,26,CHW,AL,-1,66,7,7,1,0,0,8,16,0.106,0.139,0.121,0.26,-26,0.125,-45,8,6/H14,amayaja01
499,Sean Bouchard,29,COL,NL,-0.9,66,7,11,0,1,1,7,27,0.167,0.247,0.242,0.489,32,0.235,32,16,9H/D73,bouchse01
500,Andrés Chaparro,26,WSN,NL,-0.4,66,4,12,2,0,1,5,22,0.182,0.247,0.258,0.504,44,0.231,42,17,3/HD,chapaan01
501,Everson Pereira,24,TBR,AL,-0.3,65,7,9,1,0,2,8,28,0.138,0.219,0.246,0.465,31,0.227,32,16,8/H9,pereiev01
502,Anthony Seigler*,26,MIL,NL,-0.1,62,6,12,1,0,0,5,16,0.194,0.292,0.21,0.501,44,0.248,44,13,5H/123D,seiglan01
503,Tim Elko,26,CHW,AL,-0.5,67,6,9,1,0,4,8,30,0.134,0.194,0.328,0.523,43,0.241,44,22,3/DH,elkoti01
504,Nick Yorke,23,PIT,NL,0.4,69,7,16,3,0,1,8,15,0.232,0.264,0.319,0.583,62,0.273,64,22,4/395H,yorkeni01
505,José Fermín,26,STL,NL,0.8,60,5,17,5,0,1,9,10,0.283,0.377,0.417,0.793,125,0.358,137,25,4/H579D,fermijo01
506,Matthew Lugo,24,LAA,AL,-0.5,69,9,16,2,1,4,9,24,0.232,0.243,0.464,0.707,90,0.295,83,32,8H/97,lugoma01
507,Carter Jensen*,21,KCR,AL,0.8,60,12,18,6,0,3,13,12,0.3,0.391,0.55,0.941,161,0.399,162,33,2D/H,jenseca01
508,Moisés Ballesteros*,21,CHC,NL,0.5,57,12,17,2,1,2,11,12,0.298,0.394,0.474,0.868,151,0.39,159,27,D/H32,ballemo01
509,Gustavo Campero#,27,LAA,AL,-0.3,58,9,10,1,0,3,8,14,0.172,0.273,0.345,0.618,71,0.282,69,20,9/H78D,campegu01
510,Jorbit Vivas*,24,NYY,AL,-0.3,56,6,9,2,0,1,5,13,0.161,0.266,0.25,0.516,46,0.241,44,14,45/H,vivasjo01
511,Nathan Church*,24,STL,NL,0.3,56,9,10,1,0,1,8,18,0.179,0.254,0.25,0.504,44,0.249,50,14,8/97H,churcna01
512,Jarred Kelenic*,25,ATL,NL,-0.6,60,7,10,2,0,2,2,23,0.167,0.231,0.3,0.531,49,0.23,44,18,9/H7D,kelenja01
